4,2.14,2,2,4.1
4,4.112,4,4,4.1
4,4.112,4,4,4.1
4,1.6,1,4,4.1
4,2.14,2,4,4
4,2.14,2,4,4
4,4.112,4,4,4
4,4.112,4,4,4
0,4.112,4,4,4
4,1.7,1,4,4
4,1.12,1,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,1.12,1,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,2.14,2,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,2.14,2,4,4
4,4.5,4,4,4
4,1.12,1,4,4.1
4,0.15,0,4,4.1
4,4.112,4,4,4.1
4,2.14,2,4,4.1
4,4.112,4,4,4.1
4,1.13,1,4,4.1
4,0.15,0,0,4.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,2.1,2,2,2
2,2.1,2,2,2
2,3.9,3,3,3
3,3.9,3,3,3
3,3.9,3,3,3
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,3.9,3,3,3
2,2.1,2,2,2
3,2.1,2,2,2
2,2.1,2,2,2.1
2,2.14,2,2,2.1
3,2.1,2,2,3.1
2,2.1,2,2,2.1
3,2.1,2,2,3.1
2,2.1,2,2,2
2,3.9,3,3,3
3,3.9,3,3,3
2,3.9,3,3,3
3,3.9,3,3,3
2,2.1,2,2,2.1
2,0.15,0,2,2.1
2,2.1,2,2,2.1
3,2.1,2,2,3.1
2,2.1,2,2,2.1
3,2.1,2,2,2
3,3.9,3,2,2
3,2.1,2,2,2
3,2.1,2,2,3.1
3,0.15,0,2,3.1
2,2.14,2,2,2.1
2,2.1,2,2,2.1
2,2.1,2,2,2.1
3,2.1,2,2,2
2,2.1,2,2,2
3,2.1,2,2,2
2,2.1,2,2,2
3,3.9,3,3,3
3,3.9,3,3,3
3,3.9,3,3,3
3,3.9,3,3,3
2,3.9,3,3,3
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.1,2,2,2.1
2,2.1,2,2,2.1
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,3.9,3,3,3
2,2.1,2,3,3
2,3.9,3,3,3
2,2.1,2,3,3
2,3.9,3,3,3
3,3.9,3,3,3
3,3.9,3,3,3
3,2.1,2,3,3
3,2.1,2,3,3
2,3.9,3,3,3
3,2.1,2,2,2
3,2.1,2,2,2
3,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
3,3.9,3,3,3
2,2.14,2,2,2
3,2.14,2,2,2
2,2.14,2,2,2
3,2.14,2,2,2
2,2.14,2,2,2
2,3.9,3,3,3
2,2.1,2,3,3
3,3.9,3,3,3
3,3.9,3,3,3
2,3.9,3,3,3
3,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,2.14,2,4,4
4,4.111,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4.1
4,1.12,1,4,4.1
0,4.5,4,4,0.1
4,4.5,4,4,4.1
4,4.5,0,0,4.1
0,0.15,0,0,0.1
4,2.14,2,2,4.1
4,1.12,1,1,4.1
4,4.112,4,1,4.1
4,2.14,2,2,2
4,4.112,4,4,4
4,4.112,4,4,4
0,0.3,0,4,4
4,1.12,1,4,4
4,1.12,1,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
0,1.6,1,4,4
4,4.112,4,4,4
4,2.14,2,4,4
0,0.3,0,4,4
4,4.112,4,4,4
4,2.14,2,4,4
4,4.112,4,4,4
4,4.5,4,4,4
4,4.5,4,4,4
4,4.112,4,4,4
4,2.14,2,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.5,4,4,4
0,4.5,4,4,4
1,1.7,1,4,4
1,4.112,4,4,4
2,4.5,4,4,4
2,1.12,1,4,4
2,1.12,1,4,4
1,4.112,4,4,1.1
1,1.7,1,1,1
1,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
4,2.14,2,2,2
1,1.7,1,2,2
2,2.14,2,2,2
2,2.14,2,2,2
4,2.14,2,2,2
1,4.112,4,2,2
2,2.14,2,2,2
2,4.112,4,2,2
2,2.14,2,2,2
2,2.14,2,2,2
1,4.112,4,2,2
2,2.14,2,2,2
2,4.112,4,2,2
2,2.14,2,2,2
1,2.14,2,2,2
1,2.14,2,2,2
1,4.112,4,4,4
1,4.112,4,4,4
1,4.112,4,4,4
2,4.112,4,4,4
2,4.112,4,4,4
1,4.112,4,4,4
2,4.112,4,4,4
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.1,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2.1
2,0.15,0,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.1,2,2,2.1
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,3.9,3,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,3.9,3,3,3
2,2.1,2,2,2.1
2,0.15,0,2,2.1
0,2.14,2,2,0.1
2,0.3,0,0,2.1
2,4.5,4,1,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2.1
2,0.15,0,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.1,2,2,2
2,3.9,3,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,3.9,3,3,3
2,3.9,3,3,3
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,3.9,3,3,3
3,3.9,3,3,3
2,2.1,2,3,3
2,3.9,3,3,3
2,2.1,2,3,3
2,3.9,3,3,3
2,3.9,3,3,3
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2
2,2.14,0,0,2.1
0,0.15,0,0,0.1
0,0.15,0,0,0.1
0,4.5,4,1,0.1
1,1.7,1,1,1.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2.1
2,0.3,0,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2.1
0,0.15,0,0,0.1
2,4.5,4,1,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2.1
0,0.15,0,2,0.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,0.3,0,2,2
2,2.14,2,2,2.1
0,0.15,0,0,0.1
2,0.15,0,0,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4.1
4,2.14,2,2,4.1
4,2.14,2,2,4.1
4,1.12,1,1,4.1
4,2.14,2,2,4.1
0,2.14,2,2,2
0,1.7,1,2,2
4,2.14,2,2,4.1
4,4.112,4,4,4.1
4,4.112,4,4,4
4,4.112,4,4,4
4,4.111,4,4,4
4,4.111,4,4,4
4,2.14,2,4,4
4,1.12,1,4,4
0,2.14,2,4,4
0,4.5,4,4,0.1
0,0.3,0,0,0.1
0,2.14,2,0,0.1
0,0.3,0,0,0.1
0,0.3,0,0,0.1
0,0.3,0,0,0.1
0,2.14,2,0,0.1
0,2.14,2,0,0.1
0,0.15,0,0,0.1
0,0.15,0,0,0.1
0,0.15,0,0,0.1
0,2.14,2,0,0.1
0,0.3,0,0,0.1
0,1.12,1,1,0.1
0,0.15,0,0,0.1
0,0.15,0,0,0.1
0,0.15,0,0,0.1
0,2.14,2,0,0.1
0,0.3,0,0,0.1
0,0.3,0,0,0.1
0,0.3,0,0,0
0,0.3,0,0,0
0,0.3,0,0,0
0,0.3,0,0,0.1
0,1.6,1,1,0.1
0,4.5,4,4,0.1
0,4.5,4,4,4
0,4.5,4,4,0.1
0,0.3,0,0,0.1
0,0.3,0,0,0
0,0.3,0,0,0.1
0,1.7,1,1,0.1
0,1.7,1,1,1
0,4.5,4,1,1
0,1.7,1,1,0.1
0,4.5,4,0,0.1
0,0.3,0,0,0
0,0.3,0,0,0
0,0.3,0,0,0.1
0,4.5,4,1,0.1
0,0.3,0,0,0.1
0,1.7,1,1,0.1
0,0.3,0,0,0.1
0,4.5,4,1,0.1
0,0.3,0,0,0.1
0,4.5,4,4,0.1
0,4.5,4,4,0.1
0,4.5,4,4,0.1
0,1.7,1,4,4
0,4.112,4,4,4
0,4.5,4,4,4
1,4.5,4,4,4
1,4.5,4,4,4
1,4.5,4,4,1.1
1,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.14,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
3,3.9,3,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2.1
2,3.9,3,3,3
2,3.9,3,3,3
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2
2,2.1,2,2,2.1
2,0.15,0,2,2.1
1,2.14,2,2,1.1
2,2.14,2,2,2.1
2,4.5,4,2,2.1
2,2.14,2,2,2
2,2.14,2,2,2
1,2.14,2,2,2
1,4.5,4,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
2,2.14,2,2,2
4,2.14,2,2,4.1
4,4.112,4,4,4
4,4.111,4,4,4.1
4,1.12,1,4,4.1
4,1.13,1,4,4.1
4,4.112,4,4,4.1
4,4.111,4,4,4.1
4,4.112,4,4,4
4,4.112,4,4,4
0,4.112,4,4,4
4,4.5,4,4,4
4,4.111,4,4,4
4,4.112,4,4,4
4,4.112,4,4,4
4,4.111,4,4,4
4,4.111,4,4,4
4,4.111,4,4,4
4,4.111,4,4,4
4,4.111,4,4,4
